ID;HexCode;Description;ContrastChk
295;#F62217;Ruby Red;0
296;#F70D1A;Ferrari Red;0
297;#F62817;Fire Engine Red;0
298;#E42217;Lava Red;0
299;#E41B17;Love Red;0
300;#DC381F;Grapefruit;0
301;#C24641;Cherry Red;0
302;#C11B17;Chilli Pepper;1
303;#B21807;Tomato Sauce Red;0
304;#A70D2A;Carbon Red;0
305;#9F000F;Cranberry;0
306;#931314;Saffron Red;0
307;#990012;Red Wine or Wine Red;0
308;#8C001A;Burgundy;0
309;#800517;Deep Red;0
310;#660000;Red Blood;0
311;#551606;Blood Night;0
312;#3D0C02;Black Bean;0
313;#3F000F;Chocolate Brown;0
314;#2B1B17;Midnight;0
315;#550A35;Purple Lily;0
316;#810541;Purple Maroon;0
317;#7D0541;Plum Pie;0
318;#7D0552;Plum Velvet;1
319;#872657;Dark Raspberry;0
320;#7E354D;Velvet Maroon;0
321;#7F4E52;Rosy Finch;0
322;#7F525D;Dull Purple;0
323;#7F5A58;Puce;0
324;#997070;Rose Dust;0
325;#B38481;Rosy Pink;0
326;#C5908E;Khaki Rose;0
327;#C48189;Pink Brown;0
328;#C48793;Lipstick Pink;0
329;#E8ADAA;Rose;0
330;#C4AEAD;Silver Pink;0
331;#ECC5C0;Rose Gold;0
332;#FFCBA4;Deep Peach;0
333;#F8B88B;Pastel Orange;1
334;#EDC9AF;Desert Sand;0
335;#FFDDCA;Unbleached Silk;0
336;#FDD7E4;Pig Pink;0
337;#FFE6E8;Blush;0
338;#FFDFDD;Pink Bubble Gum;0
339;#FFCCCB;Light Red;0
340;#FBCFCD;Light Rose;0
341;#FBBBB9;Deep Rose;0
342;#FAAFBE;Donut Pink;0
343;#FAAFBA;Baby Pink;0
344;#F9A7B0;Flamingo Pink;0
345;#FEA3AA;Pastel Pink;0
346;#E7A1B0;Pink Rose;0
347;#E799A3;Pink Daisy;0
348;#E38AAE;Cadillac Pink;0
349;#F778A1;Carnation Pink;0
350;#E56E94;Blush Red;0
351;#D16587;Purple Pink;0
352;#C25A7C;Tulip Pink;0
353;#C25283;Bashful Pink;0
354;#E75480;Dark Pink;0
355;#F660AB;Dark Hot Pink;0
356;#FC6C85;Watermelon Pink;0
357;#F6358A;Violet Red;0
358;#F52887;Hot Deep Pink;0
359;#F535AA;Neon Pink;0
360;#FD349C;Neon Hot Pink;0
361;#E45E9D;Pink Cupcake;0
362;#E3319D;Dimorphotheca Magenta;0
363;#E4287C;Pink Lemonade;0
364;#E30B5D;Raspberry;0
365;#C32148;Bright Maroon;0
366;#C21E56;Rose Red;0
367;#C12869;Rogue Pink;0
368;#C12267;Burnt Pink;0
369;#CA226B;Pink Violet;0
370;#C12283;Dark Carnation Pink;0
371;#B3446C;Raspberry Purple;0
372;#B93B8F;Pink Plum;0
373;#DF73D4;Deep Mauve;0
374;#F433FF;Bright Neon Pink;0
375;#E238EC;Crimson Purple;0
376;#D462FF;Heliotrope Purple;0
377;#C45AEC;Tyrian Purple;0
378;#A74AC7;Purple Flower;0
379;#B048B5;Orchid Purple;0
380;#D291BC;Pastel Violet;0
381;#915F6D;Mauve Taupe;0
382;#7E587E;Viola Purple;0
383;#614051;Eggplant;0
384;#583759;Plum Purple;0
385;#5E5A80;Grape;0
386;#4E5180;Purple Navy;0
387;#6960EC;Blue Lotus;0
388;#736AFF;Light Slate Blue;0
389;#7575CF;Periwinkle Purple;0
390;#6C2DC7;Purple Amethyst;0
391;#6A0DAD;Bright Purple;0
392;#5453A6;Deep Periwinkle;0
393;#4E387E;Purple Haze;0
394;#571B7E;Purple Iris;0
395;#4B0150;Dark Purple;0
396;#36013F;Deep Purple;0
397;#461B7E;Purple Monster;0
398;#342D7E;Blue Whale;0
399;#6A287E;Purple Jam;0
400;#86608E;French Lilac;0
401;#8D38C9;Purple Violet;0
402;#A23BEC;Jasmine Purple;0
403;#B041FF;Purple Daffodil;0
404;#842DCE;Clemantis Violet;0
405;#7A5DC7;Purple Sage Bush;0
406;#7F38EC;Lovely Purple;0
407;#9D00FF;Neon Purple;0
408;#8E35EF;Purple Plum;0
409;#893BFF;Aztech Purple;0
410;#967BB6;Lavender Purple;0
411;#8467D7;Light Purple;0
412;#9172EC;Crocus Purple;0
413;#9E7BFF;Purple Mimosa;0
414;#CCCCFF;Periwinkle;0
415;#DCD0FF;Pale Lilac;0
416;#E0B0FF;Mauve;0
417;#D891EF;Bright Lilac;0
418;#B666D2;Rich Lilac;1
419;#C38EC7;Purple Dragon;0
420;#C8A2C8;Lilac;0
421;#E6A9EC;Blush Pink;0
422;#F2A2E8;Pastel Purple;0
423;#F9B7FF;Blossom Pink;0
424;#C6AEC7;Wisteria Purple;0
425;#D2B9D3;Purple Thistle;0
426;#E9CFEC;Periwinkle Pink;0
427;#FCDFFF;Cotton Candy;0
428;#EBDDE2;Lavender Pinocchio;0
429;#E9E4D4;Ash White;0
430;#EDE6D6;White Chocolate;0
432;#F8F0E3;Off White;0
434;#FFF9E3;Egg Shell;0
435;#FAF5EF;Rice;0
437;#FBFBF9;Cotton;0
438;#FEFCFF;Milk White;0
439;#B0E0E6;PowderBlue;1
440;#00FFFF;Aqua or Cyan;1
441;#2E8B57;SeaGreen;1
442;#808000;Olive;1
443;#FFA500;Orange;1
444;#EB5406;Red Gold;1
445;#FF69B4;HotPink;1
446;#FF77FF;Fuchsia Pink;1
447;#7FFF00;Chartreuse;1
448;#E51B1E;OGA Red;0
